,Problem,Alg_name,Iteration,Evaluations,Objectives,n_variables,xl,xu,exec_time,approx_nadir,solutions_shape,pop_size,path,image_location
703,ZDT3,NSGA2,100,20000,2,20,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.7452023029327393,[0.85076956 1.00428614],200,200,/home/582/ow6835/MOOP/Result/ZDT3/NSGA2_ZDT3_20/ZDT3_NSGA2_Iteration-100_Obj-2_Var-20.471bb741-8bcb-403f-ae66-4a9c407a2216,/home/582/ow6835/MOOP/Result/Images/ZDT3/NSGA2_ZDT3Var-20/ZDT3_NSGA2_Iteration-100_Obj-2_Var-20_Pop_size200
704,ZDT3,NSGA2,100,10000,2,20,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.9053022861480712,[0.85084125 1.02465552],100,100,/home/582/ow6835/MOOP/Result/ZDT3/NSGA2_ZDT3_20/ZDT3_NSGA2_Iteration-100_Obj-2_Var-20.7980f2fe-e611-4cd3-9f74-4ac8893fd058,/home/582/ow6835/MOOP/Result/Images/ZDT3/NSGA2_ZDT3Var-20/ZDT3_NSGA2_Iteration-100_Obj-2_Var-20_Pop_size100
705,ZDT3,AGNOMEN,1000,100000,2,10,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],31.1889910697937,[0.85183282 1.        ],100,40,/home/582/ow6835/MOOP/Result/ZDT3/AGNOMEN_ZDT3_10/ZDT3_AGNOMEN_Iteration-1000_Obj-2_Var-10.9dcf8de8-9aec-41aa-a990-5abec3c7afe6,/home/582/ow6835/MOOP/Result/Images/ZDT3/AGNOMEN_ZDT3Var-10/ZDT3_AGNOMEN_Iteration-1000_Obj-2_Var-10_Pop_size40
706,ZDT2,RNSGA2,1000,200000,2,20,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],48.9806010723114,[0.99568665 1.00031045],200,200,/home/582/ow6835/MOOP/Result/ZDT2/RNSGA2_ZDT2_20/ZDT2_RNSGA2_Iteration-1000_Obj-2_Var-20.d104e23d-4ec7-461e-88b3-34dbdc0adb7f,/home/582/ow6835/MOOP/Result/Images/ZDT2/RNSGA2_ZDT2Var-20/ZDT2_RNSGA2_Iteration-1000_Obj-2_Var-20_Pop_size200
707,ZDT3,AGNOMEN,1000,100000,2,10,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],28.957561016082764,[0.85183282 1.        ],100,200,/home/582/ow6835/MOOP/Result/ZDT3/AGNOMEN_ZDT3_10/ZDT3_AGNOMEN_Iteration-1000_Obj-2_Var-10.e09823ef-9ad1-4b59-947e-b4cd3bea4e57,/home/582/ow6835/MOOP/Result/Images/ZDT3/AGNOMEN_ZDT3Var-10/ZDT3_AGNOMEN_Iteration-1000_Obj-2_Var-10_Pop_size200
708,ZDT3,NSGA2,1000,40000,2,20,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],4.810403108596802,[0.85180919 1.00000005],40,40,/home/582/ow6835/MOOP/Result/ZDT3/NSGA2_ZDT3_20/ZDT3_NSGA2_Iteration-1000_Obj-2_Var-20.c3e7be65-cd42-4ca7-94f4-bbe3a2bc8434,/home/582/ow6835/MOOP/Result/Images/ZDT3/NSGA2_ZDT3Var-20/ZDT3_NSGA2_Iteration-1000_Obj-2_Var-20_Pop_size40
709,ZDT3,NSGA2,500,50000,2,20,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],4.836599111557007,[0.85173857 0.99999902],100,100,/home/582/ow6835/MOOP/Result/ZDT3/NSGA2_ZDT3_20/ZDT3_NSGA2_Iteration-500_Obj-2_Var-20.789d14a7-dbce-4930-8a06-a11a77dcd0df,/home/582/ow6835/MOOP/Result/Images/ZDT3/NSGA2_ZDT3Var-20/ZDT3_NSGA2_Iteration-500_Obj-2_Var-20_Pop_size100
710,ZDT3,NSGA3,100,10000,2,20,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.0368096828460691,[0.85222341 0.97521047],108,100,/home/582/ow6835/MOOP/Result/ZDT3/NSGA3_ZDT3_20/ZDT3_NSGA3_Iteration-100_Obj-2_Var-20.c248fe0e-0c07-4f93-b9b6-4ab10dae74b6,/home/582/ow6835/MOOP/Result/Images/ZDT3/NSGA3_ZDT3Var-20/ZDT3_NSGA3_Iteration-100_Obj-2_Var-20_Pop_size100
711,ZDT3,NSGA2,200,20000,2,20,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.8545100688934328,[0.85228325 1.00087044],100,100,/home/582/ow6835/MOOP/Result/ZDT3/NSGA2_ZDT3_20/ZDT3_NSGA2_Iteration-200_Obj-2_Var-20.c2feb046-009e-4980-b4bc-7fc36a7d8a7d,/home/582/ow6835/MOOP/Result/Images/ZDT3/NSGA2_ZDT3Var-20/ZDT3_NSGA2_Iteration-200_Obj-2_Var-20_Pop_size100
712,ZDT3,NSGA2,500,100000,2,20,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],9.320542573928831,[0.85179526 0.99989784],200,200,/home/582/ow6835/MOOP/Result/ZDT3/NSGA2_ZDT3_20/ZDT3_NSGA2_Iteration-500_Obj-2_Var-20.745d6e16-fdb6-426e-874a-6eee040632c8,/home/582/ow6835/MOOP/Result/Images/ZDT3/NSGA2_ZDT3Var-20/ZDT3_NSGA2_Iteration-500_Obj-2_Var-20_Pop_size200
